#DefaultFile
"Blocks","17","Oak Wood","oakwood","MHF_OakLog","Yes"
"Blocks","46","Tnt","tnt","MHF_TNT2","Yes"
"Blocks","54","Chest","chest","MHF_Chest","Yes"
"Blocks","81","Cactus","cactus","MHF_Cactus","Yes"
"Blocks","86","Pumpkin","pumpkin","MHF_Pumpkin","Yes"
"Blocks","92","Cake Block","cakeblock","MHF_Cake","Yes"
"Blocks","95","Locked Chest","lockedchest","MHF_Chest","Yes"
"Blocks","103","Melon Block","melonblock","MHF_Melon","Yes"
"Blocks","146","Trapped Chest","trappedchest","MHF_Chest","Yes"
"Mobs","","Blaze","blaze","MHF_Blaze","Yes"
"Mobs","","Chicken","chicken","MHF_Chicken","Yes"
"Mobs","","Cow","cow","MHF_Cow","Yes"
"Mobs","","Enderman","enderman","MHF_Enderman","Yes"
"Mobs","","Ghast","ghast","MHF_Ghast","Yes"
"Mobs","","Herobrine","herobrine","MHF_Herobrine","Yes"
"Mobs","","Magma Cube","magmacube","MHF_LavaSlime","Yes"
"Mobs","","Mooshroom","mooshroom","MHF_MushroomCow","Yes"
"Mobs","","Zombie Pigman","zombiepigman","MHF_PigZombie","Yes"
"Mobs","","Sheep","sheep","MHF_Sheep","Yes"
"Mobs","","Slime","slime","MHF_Slime","Yes"
"Mobs","","Spider","spider","MHF_Spider","Yes"
"Mobs","","Cave Spider","cavespider","MHF_CaveSpider","Yes"
"Mobs","","Squid","squid","MHF_Squid","Yes"
"Mobs","","Villager","villager","MHF_Villager","Yes"
"Mobs","","Iron Golem","irongolem","MHF_Golem","Yes"
"Mobs","","Ocelot","ocelot","MHF_Ocelot","Yes"
"Mobs","","Pig","pig","MHF_Pig","Yes"
"Mobs","","Wither","wither","MHF_Wither","Yes"
"Misc","","Up Arrow","uparrow","MHF_ArrowUp","Yes"
"Misc","","Down Arrow","downarrow","MHF_ArrowDown","Yes"
"Misc","","Left Arrow","leftarrow","MHF_ArrowLeft","Yes"
"Misc","","Right Arrow","rightarrow","MHF_ArrowRight","Yes"
"Misc","","Exclamation","exclamation","MHF_Exclamation","Yes"
"Misc","","Question","question","MHF_Question","Yes"
